"","Year","District","Block","Crop","Yield"
"1847",2014,"D19","B48","Bajra",1427
"1848",2014,"D19","B49","Bajra",1680
"1849",2014,"D5","B50","Bajra",2158
"1850",2014,"D5","B51","Bajra",1464
"1851",2014,"D5","B52","Bajra",1142
"1852",2014,"D5","B53","Bajra",2348
"1853",2014,"D12","B54","Bajra",1448
"1854",2014,"D12","B55","Bajra",2041
"1855",2014,"D12","B56","Bajra",1529
"1856",2014,"D12","B57","Bajra",1339
"1857",2014,"D12","B58","Bajra",2187
"1858",2014,"D3","B60","Bajra",2095
"1859",2014,"D3","B61","Bajra",1494
"1860",2014,"D13","B62","Bajra",2405
"1861",2014,"D13","B63","Bajra",1616
"1862",2014,"D13","B64","Bajra",1719
"1863",2014,"D13","B65","Bajra",1737
"1865",2014,"D15","B67","Bajra",1749
"1868",2014,"D15","B70","Bajra",1749
"1872",2014,"D9","B74","Bajra",1749
"1873",2014,"D9","B75","Bajra",1749
"1880",2014,"D8","B82","Bajra",2199
"1881",2014,"D8","B83","Bajra",2311
"1882",2014,"D8","B84","Bajra",2737
"1883",2014,"D8","B85","Bajra",2139
"1888",2014,"D21","B90","Bajra",1749
"1890",2014,"D21","B92","Bajra",1749
"1891",2014,"D21","B93","Bajra",1749
"1893",2014,"D14","B6","Bajra",1749
"1894",2014,"D14","B95","Bajra",1749
"1897",2014,"D20","B98","Bajra",1749
"1899",2014,"D20","B100","Bajra",1749
"1900",2014,"D20","B101","Bajra",1749
"1902",2014,"D7","B103","Bajra",1932
"1903",2014,"D7","B104","Bajra",1326
"1904",2014,"D7","B105","Bajra",1943
"1905",2014,"D7","B106","Bajra",2073
"1906",2014,"D7","B107","Bajra",2077
"1907",2014,"D7","B108","Bajra",2466
"1908",2014,"D7","B109","Bajra",2230
"1909",2014,"D11","B110","Bajra",2189
"1910",2014,"D11","B111","Bajra",1918
"1911",2014,"D11","B112","Bajra",1862
"1912",2014,"D11","B113","Bajra",1351
"1913",2014,"D11","B114","Bajra",1233
"1914",2014,"D16","B115","Bajra",2284
"1915",2014,"D16","B116","Bajra",1903
"1916",2014,"D16","B117","Bajra",2440
"1917",2014,"D16","B118","Bajra",2535
"1918",2014,"D16","B119","Bajra",2476
"2756",2015,"D22","B1","Bajra",1086
"2757",2015,"D22","B120","Bajra",1840
"2758",2015,"D22","B3","Bajra",1803
"2759",2015,"D22","B4","Bajra",2180
"2760",2015,"D22","B5","Bajra",1790
"2761",2015,"D22","B6","Bajra",2188
"2762",2015,"D22","B7","Bajra",1810
"2763",2015,"D22","B8","Bajra",1247
"2764",2015,"D22","B9","Bajra",1080
"2765",2015,"D4","B10","Bajra",3071
"2766",2015,"D4","B11","Bajra",2002
"2767",2015,"D4","B12","Bajra",1490
"2768",2015,"D4","B13","Bajra",1226
"2769",2015,"D4","B14","Bajra",1930
"2772",2015,"D18","B17","Bajra",1299
"2774",2015,"D18","B19","Bajra",1488
"2775",2015,"D18","B20","Bajra",1765
"2776",2015,"D18","B21","Bajra",695
"2778",2015,"D1","B23","Bajra",1383
"2779",2015,"D1","B24","Bajra",1235
"2780",2015,"D1","B25","Bajra",904
"2781",2015,"D1","B26","Bajra",1714
"2782",2015,"D1","B27","Bajra",1959
"2783",2015,"D1","B28","Bajra",1694
"2784",2015,"D1","B29","Bajra",1479
"2785",2015,"D1","B30","Bajra",1021
"2786",2015,"D1","B31","Bajra",966
"2787",2015,"D1","B32","Bajra",894
"2788",2015,"D17","B33","Bajra",1168
"2789",2015,"D17","B34","Bajra",2145
"2790",2015,"D17","B35","Bajra",2199
"2791",2015,"D17","B36","Bajra",1197
"2792",2015,"D17","B37","Bajra",1757
"2793",2015,"D6","B38","Bajra",2387
"2794",2015,"D6","B39","Bajra",2507
"2795",2015,"D6","B40","Bajra",2630
"2796",2015,"D6","B41","Bajra",1640
"2797",2015,"D6","B42","Bajra",2442
"2798",2015,"D19","B43","Bajra",2338
"2799",2015,"D19","B44","Bajra",2069
"2800",2015,"D19","B45","Bajra",2071
"2801",2015,"D19","B46","Bajra",1936
"2802",2015,"D19","B47","Bajra",2193
"2803",2015,"D19","B48","Bajra",2665
"2804",2015,"D19","B49","Bajra",1910
"2805",2015,"D5","B50","Bajra",2017
"2806",2015,"D5","B51","Bajra",2095
"2807",2015,"D5","B52","Bajra",1419
"2808",2015,"D5","B53","Bajra",2185
"2809",2015,"D12","B54","Bajra",1830
"2810",2015,"D12","B55","Bajra",2530
"2811",2015,"D12","B56","Bajra",1573
"2812",2015,"D12","B57","Bajra",1754
"2813",2015,"D12","B58","Bajra",1947
"2814",2015,"D3","B60","Bajra",2065
"2815",2015,"D3","B61","Bajra",1644
"2816",2015,"D13","B62","Bajra",1190
"2817",2015,"D13","B63","Bajra",1294
"2818",2015,"D13","B64","Bajra",1368
"2819",2015,"D13","B65","Bajra",2017
"2821",2015,"D15","B67","Bajra",1762
"2824",2015,"D15","B70","Bajra",1762
"2828",2015,"D9","B74","Bajra",1762
"2829",2015,"D9","B75","Bajra",1762
