"","Year","District","Block","Crop","Yield"
"1617",2014,"D12","B56","Barley",2550
"1618",2014,"D12","B57","Barley",2080
"1619",2014,"D12","B58","Barley",2041
"1620",2014,"D3","B60","Barley",3023
"1621",2014,"D3","B61","Barley",1361
"1622",2014,"D13","B62","Barley",3149
"1623",2014,"D13","B63","Barley",1536
"1624",2014,"D13","B64","Barley",2488
"1625",2014,"D13","B65","Barley",4704
"1656",2014,"D14","B95","Barley",3182
"1664",2014,"D7","B103","Barley",2386
"1665",2014,"D7","B104","Barley",2386
"1669",2014,"D7","B108","Barley",2386
"1670",2014,"D7","B109","Barley",2386
"1672",2014,"D11","B111","Barley",1594
"1675",2014,"D11","B114","Barley",1594
"1676",2014,"D16","B115","Barley",2710
"1677",2014,"D16","B116","Barley",3246
"1678",2014,"D16","B117","Barley",3433
"1679",2014,"D16","B118","Barley",1885
"1680",2014,"D16","B119","Barley",1763
"2520",2015,"D22","B1","Barley",3740
"2521",2015,"D22","B120","Barley",3399
"2522",2015,"D22","B3","Barley",3118
"2523",2015,"D22","B4","Barley",3643
"2524",2015,"D22","B5","Barley",3279
"2525",2015,"D22","B6","Barley",3752
"2526",2015,"D22","B7","Barley",4001
"2527",2015,"D22","B8","Barley",3646
"2528",2015,"D22","B9","Barley",2565
"2529",2015,"D4","B10","Barley",2856
"2530",2015,"D4","B11","Barley",3401
"2531",2015,"D4","B12","Barley",2483
"2532",2015,"D4","B13","Barley",2815
"2533",2015,"D4","B14","Barley",2856
"2535",2015,"D18","B16","Barley",4115
"2536",2015,"D18","B17","Barley",3286
"2537",2015,"D18","B18","Barley",4213
"2538",2015,"D18","B19","Barley",3813
"2539",2015,"D18","B20","Barley",3702
"2540",2015,"D18","B21","Barley",2592
"2541",2015,"D18","B22","Barley",3828
"2542",2015,"D1","B23","Barley",3183
"2543",2015,"D1","B24","Barley",2432
"2544",2015,"D1","B25","Barley",3177
"2545",2015,"D1","B26","Barley",2853
"2546",2015,"D1","B27","Barley",2894
"2547",2015,"D1","B28","Barley",2936
"2548",2015,"D1","B29","Barley",3530
"2549",2015,"D1","B30","Barley",2454
"2550",2015,"D1","B31","Barley",1446
"2551",2015,"D1","B32","Barley",3579
"2552",2015,"D17","B33","Barley",2478
"2553",2015,"D17","B34","Barley",2575
"2554",2015,"D17","B35","Barley",2478
"2555",2015,"D17","B36","Barley",2931
"2556",2015,"D17","B37","Barley",1421
"2557",2015,"D6","B38","Barley",2746
"2558",2015,"D6","B39","Barley",3549
"2559",2015,"D6","B40","Barley",4006
"2560",2015,"D6","B41","Barley",4324
"2561",2015,"D6","B42","Barley",3524
"2569",2015,"D5","B50","Barley",4094
"2570",2015,"D5","B51","Barley",4216
"2571",2015,"D5","B52","Barley",4094
"2572",2015,"D5","B53","Barley",4038
"2573",2015,"D12","B54","Barley",4046
"2574",2015,"D12","B55","Barley",3809
"2575",2015,"D12","B56","Barley",3325
"2576",2015,"D12","B57","Barley",2891
"2577",2015,"D12","B58","Barley",3465
"2578",2015,"D3","B60","Barley",3414
"2579",2015,"D3","B61","Barley",3414
"2580",2015,"D13","B62","Barley",3069
"2581",2015,"D13","B63","Barley",3463
"2582",2015,"D13","B64","Barley",3463
"2583",2015,"D13","B65","Barley",2960
"2623",2015,"D7","B104","Barley",3463
"2627",2015,"D7","B108","Barley",3463
"2628",2015,"D7","B109","Barley",3463
"2632",2015,"D11","B111","Barley",3439
"2633",2015,"D11","B123","Barley",3439
"2637",2015,"D16","B115","Barley",2427
"2638",2015,"D16","B116","Barley",3444
"2639",2015,"D16","B117","Barley",4450
"2640",2015,"D16","B118","Barley",3611
"2641",2015,"D16","B119","Barley",3444
"3488",2016,"D22","B1","Barley",3228
"3489",2016,"D22","B120","Barley",3005
"3490",2016,"D22","B3","Barley",2893
"3491",2016,"D22","B4","Barley",4022
"3492",2016,"D22","B5","Barley",3905
"3493",2016,"D22","B6","Barley",3600
"3494",2016,"D22","B7","Barley",3570
"3495",2016,"D22","B8","Barley",4201
"3496",2016,"D22","B9","Barley",3788
"3497",2016,"D4","B10","Barley",3988
"3498",2016,"D4","B11","Barley",3894
"3499",2016,"D4","B12","Barley",3663
"3500",2016,"D4","B13","Barley",3707
"3501",2016,"D4","B14","Barley",3755
"3502",2016,"D4","B15","Barley",3177
"3503",2016,"D18","B16","Barley",4024
"3504",2016,"D18","B17","Barley",3221
"3505",2016,"D18","B18","Barley",4121
"3506",2016,"D18","B19","Barley",3902
"3507",2016,"D18","B20","Barley",3845
"3508",2016,"D18","B21","Barley",3382
"3509",2016,"D18","B22","Barley",3884
"3510",2016,"D1","B23","Barley",3881
"3511",2016,"D1","B24","Barley",2974
"3512",2016,"D1","B25","Barley",3460
"3513",2016,"D1","B26","Barley",4041
"3514",2016,"D1","B27","Barley",3485
"3515",2016,"D1","B28","Barley",4050
"3516",2016,"D1","B29","Barley",4344
