"","Year","District","Block","Crop","Yield"
"3183",2015,"D13","B63","Cotton",274
"3184",2015,"D13","B64","Cotton",274
"3185",2015,"D13","B65","Cotton",274
"3186",2015,"D15","B66","Cotton",274
"3187",2015,"D15","B67","Cotton",274
"3188",2015,"D15","B68","Cotton",274
"3189",2015,"D15","B69","Cotton",274
"3190",2015,"D15","B70","Cotton",274
"3191",2015,"D9","B71","Cotton",274
"3192",2015,"D9","B72","Cotton",274
"3193",2015,"D9","B73","Cotton",274
"3194",2015,"D9","B74","Cotton",274
"3195",2015,"D9","B75","Cotton",274
"3196",2015,"D9","B76","Cotton",274
"3197",2015,"D10","B77","Cotton",274
"3198",2015,"D10","B78","Cotton",274
"3199",2015,"D10","B79","Cotton",274
"3200",2015,"D10","B80","Cotton",274
"3201",2015,"D10","B81","Cotton",274
"3202",2015,"D8","B82","Cotton",332
"3203",2015,"D8","B83","Cotton",208
"3204",2015,"D8","B84","Cotton",174
"3205",2015,"D8","B85","Cotton",192
"3206",2015,"D8","B86","Cotton",208
"3207",2015,"D8","B87","Cotton",208
"3224",2015,"D7","B103","Cotton",174
"3225",2015,"D7","B104","Cotton",237
"3226",2015,"D7","B105","Cotton",234
"3227",2015,"D7","B106","Cotton",177
"3228",2015,"D7","B107","Cotton",151
"3229",2015,"D7","B108","Cotton",149
"3230",2015,"D7","B109","Cotton",104
"3231",2015,"D11","B110","Cotton",347
"3232",2015,"D11","B121","Cotton",347
"3233",2015,"D11","B122","Cotton",347
"3234",2015,"D11","B111","Cotton",347
"3235",2015,"D11","B123","Cotton",347
"3236",2015,"D11","B112","Cotton",347
"3237",2015,"D11","B113","Cotton",347
"3238",2015,"D11","B114","Cotton",347
"3239",2015,"D16","B115","Cotton",189
"3240",2015,"D16","B116","Cotton",189
"3241",2015,"D16","B117","Cotton",221
"3242",2015,"D16","B118","Cotton",189
"3243",2015,"D16","B119","Cotton",183
"4098",2016,"D22","B1","Cotton",537
"4099",2016,"D22","B120","Cotton",585
"4100",2016,"D22","B3","Cotton",401
"4101",2016,"D22","B4","Cotton",624
"4102",2016,"D22","B5","Cotton",696
"4103",2016,"D22","B6","Cotton",693
"4104",2016,"D22","B7","Cotton",699
"4105",2016,"D22","B8","Cotton",686
"4106",2016,"D22","B9","Cotton",728
"4107",2016,"D4","B10","Cotton",656
"4108",2016,"D4","B11","Cotton",677
"4109",2016,"D4","B12","Cotton",726
"4110",2016,"D4","B13","Cotton",807
