"Sl. No.","District","Location","May 2015","August 2015","November 2015","January 2016"
511.,Kurukshetra,Sirsala-Pz,34.86,,37.85,
512.,Kurukshetra,Tangore-Pz,39.75,,41.05,
513.,Kurukshetra,Umri-Pz,34.27,,36.49,
514.,Mahendragarh,Atali-DW,26.25,,22.60,23.05
515.,Mahendragarh,Barda-DW,83.40,,84.00,84.50
517.,Mahendragarh,Bayal,26.70,,24.40,
518.,Mahendragarh,Berundla-DW,,,,35.20
519.,Mahendragarh,Bhojawas-DW,,,,38.00
520.,Mahendragarh,Buwana-Pz,48.65,,50.00,
521.,Mahendragarh,Chelawas-DW,,,,38.00
522.,Mahendragarh,Datal-DW,32.60,,32.45,34.45
523.,Mahendragarh,Deroli Ahir,4.80,,12.65,
524.,Mahendragarh,Deroli Ahir1,10.53,,,
525.,Mahendragarh,Dhancholi-DW,34.60,,35.15,35.90
526.,Mahendragarh,Faizabad-DW,18.55,,18.95,21.25
527.,Mahendragarh,Kalba-DW,,,,31.60
528.,Mahendragarh,Kharkara Bas-DW,14.40,,,16.45
529.,Mahendragarh,Khatodra-Pz,80.33,,,
530.,Mahendragarh,Kheri,17.20,,,
531.,Mahendragarh,Kheri-Pz,,,,55.35
532.,Mahendragarh,Khodana-DW,,,,38.00
533.,Mahendragarh,Khodma-DW,92.50,,92.60,92.70
534.,Mahendragarh,Kultajpur-DW,,,,99.00
535.,Mahendragarh,Lukhi,15.64,,,
536.,Mahendragarh,Nagal Kalia-DW,52.10,,51.60,52.55
537.,Mahendragarh,Narnaul,10.42,7.95,12.55,8.25
538.,Mahendragarh,Pachnota-DW,22.60,,21.40,21.45
539.,Mahendragarh,Pali-Pz,34.25,,34.30,
540.,Mahendragarh,Pathera-DW,,,,31.80
541.,Mahendragarh,Said Alipur-DW,,,,36.65
542.,Mahendragarh,Shelang-DW,,,,34.00
543.,Mahendragarh,Tazpur-Pz,65.60,,,66.30
544.,Panchkula,Batour,,,6.93,
545.,Panchkula,Bunga At Dabkhori-DW,,34.75,,
546.,Panchkula,Devnagar(Panchkula),9.77,8.76,9.52,8.75
547.,Panchkula,Dharampur,13.60,,8.94,
548.,Panchkula,Golpura-DW,,,3.02,
549.,Panchkula,Hangola,8.25,,5.49,
550.,Panchkula,Jaspur-DW,15.50,,,
551.,Panchkula,Jaspur-Pz,18.30,,,
552.,Panchkula,Jaswant Garh-DW,,,3.89,
553.,Panchkula,Kakar Majra,10.56,,9.64,
554.,Panchkula,Khera,29.52,,28.30,
555.,Panchkula,Kheri-DW,10.20,,10.82,
557.,Panchkula,Kundi-DW,,,18.90,
558.,Panchkula,Maranwala,,,20.50,
559.,Panchkula,Mauli-DW,,,23.15,
560.,Panchkula,Nadha-DW,4.60,,,
561.,Panchkula,Parwala,18.22,,18.30,
562.,Panchkula,Patwi,9.83,13.23,12.95,13.13
563.,Panchkula,Raipur Rani-Pz,6.13,,,
564.,Panchkula,Raipurrani,5.13,,17.30,
565.,Panchkula,Ram Nagar-DW,18.00,,,
566.,Panchkula,Ramgarh-DW,12.71,,,
567.,Panchkula,Rampur-DW,,,7.14,
568.,Panchkula,Shahjahan Pur-DW,,20.01,,
569.,Panchkula,Toka-DW,8.37,,,
570.,Panipat,Babail Pz S,15.52,,,
571.,Panipat,Babail VS-Pz,18.00,,17.83,
572.,Panipat,Baholi-Pz,16.31,,15.86,
573.,Panipat,Bandh-Dw,4.94,,4.17,
574.,Panipat,Baupur,,,7.44,
575.,Panipat,Bhallour Pz,,,12.87,
576.,Panipat,Brahman Majra-Dw,4.58,,4.23,
577.,Panipat,Dakadla S,20.60,,,
578.,Panipat,Dharamgarh S,,,16.28,
579.,Panipat,Dumiana-Dw,,,3.92,
580.,Panipat,Etola-Pz-M,,,13.00,
581.,Panipat,Etola-Pz-S,,,13.13,
582.,Panipat,Hathwala-Pz,8.40,,6.55,
583.,Panipat,Israna Pz,2.77,,1.35,
584.,Panipat,Kaith-Dw,4.34,,3.64,
585.,Panipat,Karhansh Pz,34.93,,34.08,
586.,Panipat,Khalila Manjran,5.15,1.80,3.37,4.35
587.,Panipat,Khandra,,,15.11,
588.,Panipat,Khelalla Pehl S,70.00,,,
589.,Panipat,Kiwana,,,33.56,
590.,Panipat,Lohari (s),2.51,,,
591.,Panipat,Mehmadpur,18.92,,19.32,
592.,Panipat,Nara,,,19.35,
593.,Panipat,Nariana-PZ,21.05,,10.20,
594.,Panipat,Naultha,,,19.57,
595.,Panipat,Nimbri- Pz,27.50,,,
597.,Panipat,Patti Kalyana S,32.95,,32.71,
598.,Panipat,Puther Pz,7.62,,9.87,
599.,Panipat,Samalkha-Pz,32.88,,34.64,
600.,Panipat,Sanauli Khurd-Pz,12.50,,11.02,
601.,Panipat,Shahpur,5.23,,,
602.,Panipat,Sink,5.97,,8.81,
603.,Panipat,Sutana-Dw,,,7.39,
604.,Panipat,Tajpur S,23.23,,,
605.,Panipat,Untilya,5.18,,4.77,4.65
606.,Panipat,Urlana Kalan,12.52,,13.76,13.01
607.,Rewari,Bahu,11.88,,17.85,12.71
608.,Rewari,Balawas,9.11,,12.62,8.41
609.,Rewari,Bawal,26.30,,,
610.,Rewari,Bawal DW,16.18,,16.98,17.18
611.,Rewari,Bawal Pz,27.00,,29.10,27.15
612.,Rewari,Berli Khurd-DW,15.14,,14.94,15.44
613.,Rewari,Bhakli-DW,11.30,,,12.45
614.,Rewari,Bharangi-DW,,,,17.30
615.,Rewari,Dhana Alampur-DW,13.60,,,14.20
616.,Rewari,Garhi-DW,15.00,,15.21,16.35
617.,Rewari,Gumina,53.50,,53.10,
618.,Rewari,Gurkawas-DW,4.30,,3.70,4.40
619.,Rewari,Hansaka-DW,3.30,,3.60,3.90
620.,Rewari,Harinagar-DW,17.80,,17.90,13.35
621.,Rewari,Jatusana,23.60,,23.50,
622.,Rewari,Jatuwas-DW,,,,19.40
623.,Rewari,Juddi-DW,18.16,,18.70,19.45
624.,Rewari,Junawas,9.60,,,
625.,Rewari,Karnawas,11.72,,11.97,9.70
626.,Rewari,Karoli-DW,11.95,,12.85,12.95
627.,Rewari,Khera Bahu-DW,,,,23.48
628.,Rewari,Khol,61.85,,62.30,
629.,Rewari,Kumbhawas-DW,15.10,,15.20,15.50
630.,Rewari,Mandola-Pz,63.05,,64.30,63.55
631.,Rewari,Massani,24.05,,24.65,
632.,Rewari,Mubarikpur-DW,,,,17.00
633.,Rewari,Nahar,18.90,,19.65,
634.,Rewari,Nangal Mundi-DW,15.40,,15.20,15.45
635.,Rewari,Palhawas-DW,3.55,,2.65,3.70
637.,Rewari,Ratanthal-DW,8.80,,7.00,6.95
638.,Rewari,Rewari,18.07,,13.30,
639.,Rewari,Rholiawas-Pz,11.41,,13.00,
640.,Rewari,Rohrai-DW,6.44,,5.75,6.09
641.,Rewari,Sangwari,,,6.89,
642.,Rewari,Shadipur-DW,9.61,,9.51,9.76
643.,Rewari,Sudharana-DW,6.70,,9.51,8.32
644.,Rohtak,Ajaib-DW,1.58,,1.78,1.93
645.,Rohtak,Assan-DW,2.68,,2.26,2.89
646.,Rohtak,Atail-DW,5.30,,4.89,5.39
647.,Rohtak,Baland,2.88,,1.75,0.70
648.,Rohtak,Baliana-DW,2.32,,2.06,2.18
649.,Rohtak,Bhal Anandpur,2.66,,0.15,2.05
650.,Rohtak,Bhalaut,1.32,,0.35,0.46
651.,Rohtak,Bharain-DW,1.56,,1.02,1.44
652.,Rohtak,Giji-DW,5.29,,4.89,5.06
653.,Rohtak,Hassangarh,6.12,3.50,4.80,5.80
654.,Rohtak,Kalanaur,3.07,,2.02,2.79
655.,Rohtak,Kanheli-DW,0.77,,1.48,1.27
656.,Rohtak,Kansala,3.24,,1.60,2.07
657.,Rohtak,Kharawar,3.74,,3.07,3.37
658.,Rohtak,Kherari-DW,1.87,,1.74,2.10
659.,Rohtak,Kiloi-DW,1.99,,1.21,1.37
660.,Rohtak,Lahli-DW,1.68,,1.43,1.88
661.,Rohtak,Lakhan Majara,1.00,,0.87,0.97
662.,Rohtak,Madina,3.41,,3.61,3.78
663.,Rohtak,Mahem,,,15.52,
664.,Rohtak,Makhrauli Khurd,2.75,,1.84,2.08
665.,Rohtak,Meham,13.47,,12.22,15.55
666.,Rohtak,Muradpur Tekna-DW,2.79,,1.36,1.76
667.,Rohtak,Nandal-DW,1.62,,,
668.,Rohtak,Nidhana,1.76,,0.96,1.74
669.,Rohtak,Ritoli-DW,1.22,,1.02,1.26
670.,Rohtak,Rohtak,3.28,,1.97,2.14
671.,Rohtak,Rukhi,2.08,,1.71,
672.,Rohtak,Samargopalpur,2.49,,2.84,2.22
673.,Rohtak,Sampla,1.24,,2.79,1.57
674.,Rohtak,Sampla-Pz,1.02,,0.82,0.75
675.,Rohtak,Sundana-DW,4.51,,1.41,2.12
677.,Sirsa,Ali Mohmmad,29.20,,29.20,
678.,Sirsa,Alikan,11.32,,12.05,11.32
679.,Sirsa,Bharu Khera-DW,9.37,,9.45,
680.,Sirsa,Bhuratwala-Pz,11.45,,10.93,10.07
681.,Sirsa,Chaharwala,9.08,,8.88,
682.,Sirsa,Chilkani Dhab,1.70,,1.70,1.75
683.,Sirsa,Chormar,16.36,,16.82,
684.,Sirsa,Chotala,7.56,8.85,,9.86
685.,Sirsa,Chotala-Pz,10.11,,9.03,8.84
686.,Sirsa,Dabwali Dw,,,9.31,8.85
687.,Sirsa,Dabwali -Pz S,9.27,,8.67,
688.,Sirsa,Darba Kalan-Pz,1.60,1.12,1.60,1.55
689.,Sirsa,Desu Jodha-DW,12.58,,12.70,
690.,Sirsa,Desu Malkana-DW,14.10,,14.10,
691.,Sirsa,Dholpalia-DW,8.00,,8.30,
692.,Sirsa,Ding,18.01,,17.64,18.49
693.,Sirsa,Ganga,14.05,,14.05,12.05
694.,Sirsa,Ghushiana,13.53,14.00,14.10,12.09
695.,Sirsa,Gigorani,4.84,,5.49,4.55
696.,Sirsa,Goriwala,17.25,,16.64,
697.,Sirsa,Goriwala-Pz,,,,16.95
698.,Sirsa,Govindgarh-DW,14.10,,14.10,
699.,Sirsa,Gudia Khera-DW,1.63,,1.53,
700.,Sirsa,Hasu,14.63,,14.63,
701.,Sirsa,Jagiwala-DW,11.44,,11.56,
702.,Sirsa,Jamal,4.80,,4.51,4.71
703.,Sirsa,Jamal- Pz,4.38,,4.46,
704.,Sirsa,Kairanwali-DW,2.02,,1.97,
705.,Sirsa,Kalanwali Mandi-Pz,7.40,,8.07,7.49
706.,Sirsa,Kaluwana,10.92,,10.37,
707.,Sirsa,Karamsana,9.34,8.66,7.58,8.28
708.,Sirsa,Kash Ram Dhab,,,7.10,
709.,Sirsa,Khuiyan,14.21,,12.48,15.00
710.,Sirsa,Kurangwali,5.89,,5.74,
711.,Sirsa,Lohgarh,5.18,,5.18,
712.,Sirsa,Makhu Shorani,,,2.80,
713.,Sirsa,Mammer Khera-Pz,19.43,,19.34,
714.,Sirsa,Mangala-Pz,63.50,68.60,67.87,65.30
715.,Sirsa,Manjiyana,14.33,,,
717.,Sirsa,Mithri,16.15,,17.52,16.76
718.,Sirsa,Nuhian Wali,14.50,,15.43,
719.,Sirsa,Odhan Pz,17.55,,15.37,
720.,Sirsa,Ottu 1(s),,,32.63,31.11
721.,Sirsa,Panniwala Mota,12.89,9.76,10.25,10.26
722.,Sirsa,Phaggu-Pz,5.50,,5.06,
723.,Sirsa,Rasalia Khera,19.35,19.12,19.55,19.50
724.,Sirsa,Rori -DW,9.36,,9.93,8.44
725.,Sirsa,Rupana,,,1.72,
726.,Sirsa,Sadewala,21.35,,21.50,
727.,Sirsa,Sainpal-Pz,31.35,,32.46,
728.,Sirsa,Saktakhera,4.56,3.86,3.94,7.32
729.,Sirsa,Shergarh-DW,,,8.27,
730.,Sirsa,Sherpura,15.00,14.67,14.81,14.69
731.,Sirsa,Sirsa-Pz,32.54,,37.16,
732.,Sirsa,Sri Jiwan Nagar-B,43.60,,44.85,
733.,Sirsa,Sukhchain-DW,9.14,,8.08,
734.,Sirsa,Taruwana,,,8.12,
735.,Sirsa,Tejakhera,5.50,,5.35,5.97
736.,Sirsa,Thiraj,9.38,,9.38,
737.,Sirsa,Tigri-DW,6.55,,6.75,
738.,Sonipat,Ahmadpur Majra-DW,4.70,,7.35,6.40
739.,Sonipat,Ahulana,2.77,3.75,3.60,2.07
740.,Sonipat,Anandpur-Jarot-DW,5.28,,4.82,5.22
741.,Sonipat,Anwali-Pz,3.15,,2.22,2.44
742.,Sonipat,Bagru-DW,3.12,,2.45,2.43
743.,Sonipat,Banwasa-DW,4.39,,3.91,4.23
744.,Sonipat,Barauli-Pz,8.75,,0.92,8.48
745.,Sonipat,Baroda Mor-DW,,,2.56,2.90
746.,Sonipat,Barona-DW,3.63,,2.34,
747.,Sonipat,Barswani- DW,,,5.84,5.97
748.,Sonipat,Barwasni Pz (s),9.53,,5.41,
749.,Sonipat,Bega Pz,12.73,,10.04,10.40
750.,Sonipat,Bhainswal,3.29,,2.40,3.20
751.,Sonipat,Bhunderi,2.72,,2.22,
752.,Sonipat,Bichpuri1,6.25,,8.00,
753.,Sonipat,Bidhlan-DW,2.57,,2.74,2.90
754.,Sonipat,Bohela,3.32,,1.98,
755.,Sonipat,Butana,5.20,3.85,3.33,3.78
757.,Sonipat,Chirana,7.00,,4.42,
758.,Sonipat,Chitana-DW,5.07,,4.03,4.40
759.,Sonipat,Datauli-Pz,23.43,24.63,26.70,24.24
760.,Sonipat,Farmana,7.48,,6.95,7.24
761.,Sonipat,Ganaur-Pz,26.44,,28.64,
762.,Sonipat,Gangana-DW,3.12,,2.01,2.13
763.,Sonipat,Garhwal,2.47,,1.83,1.82
764.,Sonipat,Gohana Pz,18.20,,18.05,17.60
765.,Sonipat,Gorar-DW,2.79,,1.71,2.16
766.,Sonipat,Jagsi,2.13,,1.05,1.23
767.,Sonipat,Janti Khurd-Pz,12.79,,18.00,
768.,Sonipat,Jhakauli- Pz,19.90,,22.36,12.40
769.,Sonipat,Juan-DW,7.68,,8.75,8.98
770.,Sonipat,Kami- PZ,,,,36.30
771.,Sonipat,Kathura,2.80,,2.24,2.77
772.,Sonipat,Kathura Pz,2.44,,1.41,1.55
773.,Sonipat,Khanda-DW,3.36,,3.30,3.55
774.,Sonipat,Khanpur Kalan-Pz,3.95,,2.86,
775.,Sonipat,KheoraPz,26.20,,27.40,28.29
776.,Sonipat,Kheri Gujjar-Pz,23.43,,23.86,25.00
777.,Sonipat,Ladpur-Pz,8.64,,9.88,10.51
778.,Sonipat,Larsauli-Pz,30.14,,32.06,32.60
779.,Sonipat,Lath,1.54,,1.23,1.45
780.,Sonipat,Machhri,5.45,4.59,3.75,4.33
781.,Sonipat,Mahara,8.55,,8.99,
782.,Sonipat,Mattand-DW,4.17,,3.28,4.92
783.,Sonipat,Mohana Pzm,3.84,,3.96,4.34
784.,Sonipat,Mundlana DW,5.70,,4.77,
785.,Sonipat,Mundlana- Pz,,,3.76,5.35
786.,Sonipat,Murthal-Pz,36.20,32.65,33.37,32.88
787.,Sonipat,Nahri,5.38,3.26,4.38,4.84
788.,Sonipat,Nizaimpur,2.83,,1.89,2.67
789.,Sonipat,Pinana,5.58,,5.19,5.27
790.,Sonipat,Pipli-DW,6.52,,6.47,6.61
791.,Sonipat,Pugthala-Pz,6.39,,5.48,6.13
792.,Sonipat,Purkhas-Pz,16.04,,,15.40
793.,Sonipat,Rai-Bahalgarh-Pz,23.77,,,25.69
794.,Sonipat,Rasoi Pz,13.96,,14.06,
795.,Sonipat,Rathdhana-Pz,22.39,,22.94,22.74
797.,Sonipat,Rukhi-Pz,1.95,0.48,1.60,2.20
798.,Sonipat,Safiabad-Pz,8.06,,8.52,8.89
799.,Sonipat,Sisnah,6.27,,5.40,4.65
800.,Sonipat,Sonepat,27.60,,27.85,27.92
801.,Sonipat,Tihar Malikpur-DW,5.21,,5.39,6.04
802.,Yamunanagar,Amadalpur,,12.38,7.38,
803.,Yamunanagar,Antawa-Pz,28.25,,,
804.,Yamunanagar,Bari Kanari-Pz,28.40,,,
805.,Yamunanagar,Bhambauli-1 (m),17.25,,18.06,
806.,Yamunanagar,Bilaspur DW,4.08,,3.56,
807.,Yamunanagar,Chamrori-Pz,24.15,,,
808.,Yamunanagar,Chhachrauli S,16.16,,13.30,
809.,Yamunanagar,Choli,1.99,,1.12,1.39
810.,Yamunanagar,Damla-Pz,13.25,,,
811.,Yamunanagar,Dhaurang S,15.52,,14.68,
812.,Yamunanagar,Fatehpur-Pz,6.29,,,
813.,Yamunanagar,Jagadhri-Pz,17.63,,,
814.,Yamunanagar,Jhiwarheri S,,,32.41,
815.,Yamunanagar,Khizrabad,17.26,,14.70,
816.,Yamunanagar,Mustafabad DW,7.35,,7.55,6.90
817.,Yamunanagar,Mustafabad-Pz,12.40,,12.35,
818.,Yamunanagar,Nagal Patti-DW,26.80,,,
819.,Yamunanagar,Naggal-S,5.38,,5.09,
820.,Yamunanagar,Radaur S,14.48,,14.68,
821.,Yamunanagar,Ramgarh-DW,7.85,,,
822.,Yamunanagar,Rasulpur,6.77,,,
823.,Yamunanagar,Rasulpur DW,,,6.49,
824.,Yamunanagar,Sabri,6.00,,5.28,5.63
825.,Yamunanagar,Sadhaura,6.18,,,
826.,Yamunanagar,Sadhaura DW,6.77,,6.31,
827.,Yamunanagar,Sadhaura S,7.47,,6.41,
828.,Yamunanagar,Salehpur-DW,7.42,,,
829.,Yamunanagar,Shadipur,5.40,,5.60,
830.,Yamunanagar,Tala Kaur S,9.77,,,
831.,Yamunanagar,Tehi-Pz,23.27,,,
