"","X","Year","District","Block","Crop","Yield"
"139",379,2013,"Sirsa","Rania","Wheat",1.47231351948293
"140",380,2013,"Sirsa","Ellenabad","Wheat",1.78603405798475
"141",381,2013,"Sirsa","Dabwali","Wheat",1.19094980782211
"142",382,2013,"Sirsa","Odhan","Wheat",1.52155216902357
"143",383,2013,"Sirsa","Sirsa","Wheat",-6.13576124382564
"144",384,2013,"Bhiwani","Loharu","Wheat",-0.210241476248771
"145",385,2013,"Bhiwani","Bhiwani","Wheat",-0.314346049563275
"146",386,2013,"Bhiwani","Tosham","Wheat",0.0457995013625748
"147",387,2013,"Bhiwani","Bawani Khera","Wheat",-0.331227872262924
"148",388,2013,"Bhiwani","Dadri-I","Wheat",0.114733610719476
"149",389,2013,"Bhiwani","Dadri-II","Wheat",-0.364991517662222
"150",390,2013,"Bhiwani","Badhra","Wheat",-0.588675668432574
"151",391,2013,"Bhiwani","Siwani","Wheat",-0.321380142354795
"152",392,2013,"Bhiwani","Kairu","Wheat",1.14593161395638
"153",393,2013,"Bhiwani","Behal","Wheat",0.367960951214213
"154",394,2013,"Rohtak","Lakhan Majra","Wheat",-0.176477830849473
"155",395,2013,"Rohtak","Rohtak","Wheat",-0.359364243429006
"156",396,2013,"Rohtak","Sampla","Wheat",-0.0611187090685367
"157",397,2013,"Rohtak","Meham","Wheat",-1.56782138501223
"158",398,2013,"Rohtak","Kalanaur","Wheat",-0.522555196192281
"159",399,2013,"Jhajjar","Jhajjar","Wheat",-0.159596008149824
"160",400,2013,"Jhajjar","Beri","Wheat",0.837838349687782
"161",401,2013,"Jhajjar","Salhawas","Wheat",0.550847363793746
"162",402,2013,"Jhajjar","Matanhail","Wheat",0.0500199570374871
"163",403,2013,"Jhajjar","Bahadurgarh","Wheat",-0.093475535909531
"164",404,2013,"Sonepat","Sonepat","Wheat",0.329976850140003
"165",405,2013,"Sonepat","Rai","Wheat",0.408758689405032
"166",406,2013,"Sonepat","Kharkhoda","Wheat",0.563508730818483
"167",407,2013,"Sonepat","Gohana","Wheat",-0.0625255276268409
"168",408,2013,"Sonepat","Kathura","Wheat",0.526931448302577
"169",409,2013,"Sonepat","Mundlana","Wheat",0.383435955355559
"170",410,2013,"Sonepat","Ganaur","Wheat",0.510049625602927
"171",411,2013,"Gurgaon","Gurgaon","Wheat",-0.175071012291169
"172",412,2013,"Gurgaon","Farrukh Nagar","Wheat",0.376401862564038
"173",413,2013,"Gurgaon","Sohna","Wheat",-0.443773356927252
"174",414,2013,"Gurgaon","Pataudi","Wheat",0.145683619002166
"175",415,2013,"Mewat","Nuh","Wheat",-0.657609777789475
"176",416,2013,"Mewat","Tauru","Wheat",0.117547247836084
"177",417,2013,"Mewat","Ferozpur Jhirka","Wheat",-0.402975618736433
"178",418,2013,"Mewat","Nagina","Wheat",-0.526775651867194
"179",419,2013,"Mewat","Punhana","Wheat",0.908179277602987
"180",420,2013,"Mewat","Mewat","Wheat",-6.13576124382564
"181",421,2013,"Faridabad","Faridabad","Wheat",0.408758689405032
"182",422,2013,"Faridabad","B/garh","Wheat",0.438301879129418
"183",423,2013,"Palwal","Palwal","Wheat",0.353892765631172
"184",424,2013,"Palwal","Hodal","Wheat",0.133022251977429
"185",425,2013,"Palwal","Hassanpur","Wheat",0.449556427595851
"186",426,2013,"Palwal","Hathin","Wheat",0.0612745055039199
"187",427,2013,"Panipat","Panipat","Wheat",0.63103602161708
"188",428,2013,"Panipat","Samalkha","Wheat",0.861754265178952
"189",429,2013,"Panipat","Matlauda","Wheat",0.813922434196613
"190",430,2013,"Panipat","Bapoli","Wheat",0.204769998450938
"191",431,2013,"Panipat","Israna","Wheat",1.13608388404825
"192",432,2013,"Karnal","Karnal","Wheat",0.562101912260179
"193",433,2013,"Karnal","Nissing","Wheat",1.04182704064188
"194",434,2013,"Karnal","Indri","Wheat",1.20079753773024
"195",435,2013,"Karnal","Gharaunda","Wheat",0.376401862564038
"196",436,2013,"Karnal","Assandh","Wheat",0.819549708429829
"197",437,2013,"Karnal","Nilokheri","Wheat",0.663392848458074
"198",438,2013,"Kurukshetra","Thanesar","Wheat",0.386249592472167
"199",439,2013,"Kurukshetra","Shahabad","Wheat",0.372181406889126
"200",440,2013,"Kurukshetra","Pehowa","Wheat",1.14030433972316
"201",441,2013,"Kurukshetra","Ladwa","Wheat",0.99821566533445
"202",442,2013,"Kurukshetra","Babain","Wheat",0.953197471468719
"203",443,2013,"Kaithal","Kaithal","Wheat",0.856126990945736
"204",444,2013,"Kaithal","Pundri","Wheat",0.503015532811407
"205",445,2013,"Kaithal","Kalayat","Wheat",0.816736071313221
"206",446,2013,"Kaithal","Rajound","Wheat",0.48332007299515
"207",447,2013,"Kaithal","Gulha","Wheat",0.241347280966845
"208",448,2013,"Kaithal","Siwan","Wheat",1.36680212761012
"209",449,2013,"Kaithal","Kaithal","Wheat",-6.13576124382564
"210",450,2013,"Ambala","Ambala-I","Wheat",0.559288275143571
"211",451,2013,"Ambala","Ambala-II","Wheat",0.694342856740764
"212",452,2013,"Ambala","Barara","Wheat",0.362333676980997
"213",453,2013,"Ambala","Saha","Wheat",0.308874571765441
"214",454,2013,"Ambala","Naraingarh","Wheat",0.465031431737196
"215",455,2013,"Ambala","Sahazadpur","Wheat",-0.608371128248831
"216",456,2013,"Panchkula","Morni","Wheat",-3.1701877229206
"217",457,2013,"Panchkula","Barwala","Wheat",0.0500199570374871
"218",458,2013,"Panchkula","Raipurrani","Wheat",-0.455027905393684
"219",459,2013,"Panchkula","Pinjore","Wheat",-1.51858273547158
"220",460,2013,"Yamuna Nagar","Jagadhari","Wheat",0.217431365475675
"221",461,2013,"Yamuna Nagar","Bilaspur","Wheat",0.130208614860821
"222",462,2013,"Yamuna Nagar","Radaur","Wheat",0.858940628062344
"223",463,2013,"Yamuna Nagar","Sadaura","Wheat",-0.0709664389766654
"224",464,2013,"Yamuna Nagar","Chhachhrauli","Wheat",-0.484571095118071
"225",465,2013,"Yamuna Nagar","Mustafabad","Wheat",0.781565607355619
"226",466,2013,"Jind","Jind","Wheat",-0.540843837450234
"227",467,2013,"Jind","Julana","Wheat",-0.958668949266552
"228",468,2013,"Jind","Alewa","Wheat",0.020476767313101
"229",469,2013,"Jind","Safidon","Wheat",0.517083718394448
"230",470,2013,"Jind","Pillukhera","Wheat",0.439708697687722
"231",471,2013,"Jind","Uchana","Wheat",0.91943382606942
"232",472,2013,"Jind","Narwana","Wheat",0.918027007511116
"233",473,2013,"Mahendergarh","Kanina","Wheat",1.03619976640866
